Ticker,Stock Price,Market Capitalization,Number of stocks to buy
A,1288.13,7560476087596,N/A
AAL,1097.18,3497996324464,N/A
AAP,351.48,6622511641049,N/A
AAPL,1170.01,2105097763233,N/A
ABBV,339.2,1883677500072,N/A
ABC,688.77,3838918850709,N/A
ABMD,171.33,7073162187718,N/A
ABT,1199.65,476143784768,N/A
ACN,978.07,3753887193808,N/A
ADBE,329.66,7027269115179,N/A
ADI,1260.37,2046620986580,N/A
ADM,1320.42,5783290596550,N/A
ADP,1267.01,4662147300803,N/A
ADSK,849.53,2892662666832,N/A
AEE,1209.63,4006499734619,N/A
AEP,1428.94,2653130833413,N/A
AES,1474.83,6156935854291,N/A
AFL,193.94,7152275486782,N/A
AIG,1142.33,2122006851540,N/A
AIV,1377.69,9351002991531,N/A
AIZ,799.75,2802819178144,N/A
AJG,1255.53,1318239557951,N/A
AKAM,473.44,6275460722788,N/A
ALB,1089.32,7198287972484,N/A
ALGN,1436.28,7230003730599,N/A
ALK,518.59,521832776648,N/A
ALL,311.6,892728668286,N/A
ALLE,1242.61,1625543747686,N/A
ALXN,335.89,3434595550741,N/A
AMAT,212.96,689512291809,N/A
AMCR,1168.24,4480354480172,N/A
AMD,1110.16,9271325473180,N/A
AME,805.24,1500344189975,N/A
AMGN,250.05,6280714672834,N/A
AMP,955.31,4337499326801,N/A
AMT,511.83,585117983303,N/A
AMZN,322.43,4683670235535,N/A
ANET,104.42,5080949274809,N/A
ANSS,636.14,8426537400797,N/A
ANTM,1007.69,7652472750638,N/A
AON,804.23,9064771953872,N/A
AOS,280.04,7784268634943,N/A
APA,830.31,9947428042660,N/A
APD,773.29,8650705069327,N/A
APH,568.05,3895938316035,N/A
APTV,684.71,4457732051029,N/A
ARE,256.48,768419654193,N/A
ATO,114.5,6844685687452,N/A
ATVI,1076.22,6880101857650,N/A
AVB,593.7,6799613296108,N/A
AVGO,1420.85,5179538509149,N/A
AVY,1211.31,106820864297,N/A
AWK,318.93,9514247719427,N/A
AXP,173.8,4311576550850,N/A
AZO,1432.88,3866819627103,N/A
BA,791.89,1332734058384,N/A
BAC,270.19,2691601177968,N/A
BAX,146.01,2718614071355,N/A
