Company,Price,Market Cap
A,1418.35,606888599201
AAL,195.53,467755207509
AAP,1461.37,283608642792
AAPL,368.47,988549326361
ABBV,1653.03,929340018666
ABC,774.79,441689688076
ABMD,430.09,323488736003
ABT,1677.48,673380428347
ACN,1704.06,251966697723
ADBE,1915.57,833151316505
ADI,773.6,487426509914
ADM,1891.74,628303050682
ADP,962.1,838669341428
ADSK,977.43,881179455639
AEE,452.01,920433942632
AEP,205.55,58375120798
AES,1268.24,731703841006
AFL,1268.52,160823236901
AIG,561.2,736054337934
AIV,740.18,441791998654
AIZ,1581.42,62155064010
AJG,956.94,640290272267
AKAM,705.04,126720204546
ALB,1910.77,887407162138
ALGN,1165.84,181562783983
ALK,575.6,540131922963
ALL,1531.27,640718891713
ALLE,1086.05,919496543614
ALXN,1553.78,607778072260
AMAT,595.48,560961304868
AMCR,490.89,767979022970
AMD,1333.55,800956856258
AME,456.2,476622667890
AMGN,1420.59,387775689935
AMP,1614.39,180667060017
AMT,971.05,503434351217
AMZN,638.49,547924293193
ANET,183.22,109315404167
ANSS,1289.99,688285110987
ANTM,1009.41,858872246413
AON,1015.03,881926344541
AOS,265.91,547200664957
APA,660.97,765217586176
APD,1871.2,918785287021
APH,746.53,365586833278
APTV,345.21,221474654808
ARE,428.08,580120898726
ATO,1615.36,108898878563
ATVI,1626.76,318565787302
AVB,669.46,666320178866
AVGO,1807.97,367160139777
AVY,898.12,737593019240
AWK,1636.92,81065676345
AXP,1884.12,71965198164
AZO,1493.3,675370860897
BA,1036.61,698080561306
BAC,959.57,315310719084
BAX,1435.79,227798019913
BBY,1124.19,577197346962
BDX,1340.7,579507603864
BEN,1922.03,902334007532
BF.B,866.11,454406021804
BIIB,1258.53,173207487044
BIO,1312.66,839875272377
BK,938.64,803197949959
BKNG,1028.85,193820495178
BKR,1359.75,443446210792
BLK,1476.09,447490463484
BLL,1384.96,648643643965
BMY,1164.31,262615433180
BR,1612.08,440930316983
BRK.B,1543.69,322621655599
BSX,1828.46,832743303508
BWA,232.63,433578269641
BXP,1989.98,608986342191
C,1009.53,140189868324
CAG,1014.89,845589025990
CAH,271.47,12682124187
CARR,868.42,147954475271
CAT,250.39,572821894644
CB,300.94,511806931392
CBOE,667.52,820018369522
CBRE,1487.86,284053896888
CCI,1913.67,938332360838
CCL,551.09,371828841175
CDNS,382.14,556861630352
CDW,391.29,271542554733
CE,420.83,428895589741
CERN,431.85,752013018068
CF,1502.51,619214606921
CFG,1669.95,683588910718
CHD,1521.05,396094660393
CHRW,1306.97,948774208257
CHTR,215.25,69050591392
CI,999.57,836165844424
CINF,753.05,115113077674
CL,1424.0,809613391870
CLX,1810.01,826889478230
CMA,1519.51,630223472963
CMCSA,989.11,743866653430
CME,972.38,574254056286
CMG,1344.84,27363245033
CMI,825.6,750583092555
CMS,701.31,645210017616
CNC,825.8,951239922316
CNP,1090.79,673875550267
COF,721.84,478717288165
COG,424.4,359089822751
COO,1383.71,598335222676
COP,154.24,535192897531
COST,1666.05,894385667861
COTY,442.73,332039899442
CPB,1613.9,423970958119
CPRT,1220.26,657990385919
CRM,711.04,369163701950
CSCO,1866.78,76602344762
CSX,1710.64,209869430419
CTAS,1744.57,226195026732
CTL,1175.64,403051801311
CTSH,1943.18,950592768438
CTVA,1218.81,65244752974
CTXS,1860.34,711230579800
CVS,621.43,550742013590
CVX,1640.82,373388449579
CXO,1920.87,250739766769
D,817.39,360284981187
DAL,1928.56,160239517616
DD,1388.82,978033747113
DE,1578.37,407941554506
DFS,718.03,646341713668
DG,565.4,998314277616
DGX,307.08,887597940246
DHI,652.73,111574649114
DHR,756.04,139259981102
DIS,461.22,445884977540
DISCA,1824.14,598333577515
DISCK,1894.97,439115916376
DISH,762.76,814514825933
DLR,760.66,786606103024
DLTR,724.48,774909051972
DOV,1360.84,834944544798
DOW,1615.87,636136371316
DPZ,1104.37,127624178718
DRE,1470.09,855150303698
DRI,706.57,849721427158
DTE,1199.06,68112711714
DUK,737.3,698146767374
DVA,1270.66,419155626923
DVN,392.21,967973230940
DXC,1452.5,38364843745
DXCM,1580.65,409968069662
EA,798.99,112947111289
EBAY,761.12,494204657126
ECL,610.67,341905841927
ED,419.58,355967227101
EFX,820.59,645197525260
EIX,1957.03,340147859859
EL,913.99,791833867045
EMN,1924.05,161175373046
EMR,564.36,406829353288
EOG,1122.03,870962028651
EQIX,926.64,827564329279
EQR,579.02,125186087178
ES,1460.57,81337767297
ESS,922.79,238870530934
ETFC,916.0,529462305763
ETN,1108.64,458500883197
ETR,156.04,494120884424
EVRG,1183.0,404939909590
EW,118.44,942106530578
EXC,887.24,188836629779
EXPD,170.41,677340598771
EXPE,1263.29,193138669770
EXR,1124.26,76165487082
F,635.09,791390260727
FANG,602.91,929405183910
FAST,1420.45,119363075177
FB,560.64,957948900097
FBHS,769.76,744981151483
FCX,1962.54,969678689729
FDX,1874.44,716335292031
FE,994.98,338626483598
FFIV,1250.06,997102375327
FIS,171.68,451857683808
FISV,805.52,724431914931
FITB,1773.83,486344812276
FLIR,335.99,323151749441
FLS,465.21,692192327538
FLT,195.36,155961464336
FMC,1965.14,332680742771
FOX,529.85,631752984612
FOXA,317.29,141580709455
FRC,1345.71,450148064534
FRT,700.4,121880063563
FTI,1924.9,388395684993
FTNT,1694.71,318057273776
FTV,124.09,457994224919
GD,1901.55,88053898437
GE,818.02,448884419380
GILD,1451.39,42446324841
GIS,1177.86,797527141930
GL,683.1,351185743168
GLW,974.74,96673891101
GM,836.06,826410284059
GOOG,1036.2,257151071579
GOOGL,1249.5,541306760155
GPC,200.25,988769048403
GPN,1215.54,671193222770
GPS,381.57,301205079340
GRMN,1669.83,940728588206
GS,1814.47,566221632262
GWW,1476.73,129219567606
HAL,1202.93,101850944192
HAS,627.23,393766784780
HBAN,955.9,327574147026
HBI,662.77,17786477866
HCA,1897.23,23197424137
HD,444.06,723554006292
HES,804.36,923803863257
HFC,329.3,245296200303
HIG,664.87,75686509247
HII,959.19,664704979271
HLT,842.34,756593775963
HOLX,1169.34,143682227799
HON,998.22,738951340112
HPE,1167.85,455877856948
HPQ,690.27,347248491477
HRB,1319.47,861809479702
HRL,1005.52,556745636955
HSIC,1456.81,641303618542
HST,943.88,693057863004
HSY,1061.72,488711273352
HUM,973.19,717281612857
HWM,610.24,219564331181
IBM,1982.21,618852656201
ICE,1702.96,13641626353
IDXX,1187.72,10721479870
